#Selection name: Selection 4
#Area (µm^2): 3190188.54
Cell ID,Cluster,Transcripts,Area (µm^2)
klmdkljl-1,Cluster 1,0,113.39
mhkcikje-1,Cluster 1,2,117.50
klmaoefa-1,Cluster 1,1,206.50
kllmllok-1,Cluster 1,0,42.63
mhliljai-1,Cluster 1,0,107.43
mhkaonhb-1,Cluster 1,0,97.94
klinmffp-1,Cluster 1,1,82.14
mhkgacdb-1,Cluster 1,0,122.06
mhkbebge-1,Cluster 1,0,13.77
klhhpbln-1,Cluster 1,0,42.72
klmjiokm-1,Cluster 1,2,63.40
klmkmhib-1,Cluster 1,0,134.84
klhippei-1,Cluster 1,0,56.36
kllofbkj-1,Cluster 1,0,38.25
klikfcin-1,Cluster 1,2,92.89
klmlenhj-1,Cluster 1,0,70.94
klhdjakj-1,Cluster 1,2,155.47
klmljdom-1,Cluster 1,1,77.35
klmmpggd-1,Cluster 1,0,80.20
klmnobja-1,Cluster 1,0,29.94
klmkjdml-1,Cluster 1,0,75.73
klfpkdnl-1,Cluster 1,0,111.27
mhlbammm-1,Cluster 1,0,54.91
klhlmmec-1,Cluster 1,0,57.39
kllmmmjn-1,Cluster 1,0,70.40
klnaehlb-1,Cluster 1,1,266.33
klmgbfmk-1,Cluster 1,1,81.87
klncfknh-1,Cluster 1,0,67.01
klmaakip-1,Cluster 1,1,46.33
klhchald-1,Cluster 1,1,118.58
klhgdigm-1,Cluster 1,0,92.25
klfneiaf-1,Cluster 1,2,147.71
klmojpli-1,Cluster 1,0,29.98
klmokdno-1,Cluster 1,3,219.73
kllpllpc-1,Cluster 1,1,111.22
lpkmdpad-1,Cluster 2,0,88.24
lpkgkalc-1,Cluster 2,0,28.63
lpkjdkpl-1,Cluster 2,0,34.00
lpkibhhd-1,Cluster 2,0,71.84
lpkhjloc-1,Cluster 2,0,47.55
mhkkahkb-1,Cluster 1,1,217.47
klnaaffl-1,Cluster 1,0,13.46
mhkgljmg-1,Cluster 1,0,65.70
mhjppoap-1,Cluster 1,1,193.18
mhkomnjh-1,Cluster 1,0,140.66
mhjpjaoh-1,Cluster 1,0,38.47
mhknmckg-1,Cluster 2,0,114.25
klmnpgeg-1,Cluster 1,1,80.78
kllobkek-1,Cluster 1,1,112.76
klmanaeo-1,Cluster 1,0,34.09
lpkhhgjo-1,Cluster 2,0,26.33
klhfpaab-1,Cluster 1,0,118.17
klhgeglc-1,Cluster 1,0,125.04
klhfkkcc-1,Cluster 1,2,162.52
klmhbfnl-1,Cluster 1,1,153.08
klmgmgfj-1,Cluster 1,1,50.30
mhlgjpda-1,Cluster 1,1,105.39
klmgggik-1,Cluster 1,0,71.66
klikkhgk-1,Cluster 1,0,44.57
gncmeaad-1,Cluster 1,0,67.37
gmcajnpm-1,Cluster 2,0,67.73
gmmocfnm-1,Cluster 2,0,78.84
gmlmphah-1,Cluster 2,3,96.18
gmlnephm-1,Cluster 2,0,40.10
gmlonlph-1,Cluster 2,1,56.58
gnkpfofg-1,Cluster 2,2,84.40
gmbikhan-1,Cluster 2,2,48.36
gmmmmijc-1,Cluster 2,0,42.67
gmbnibkp-1,Cluster 2,0,27.95
gmblnbii-1,Cluster 2,0,57.44
gmblcfia-1,Cluster 2,1,54.14
odigdohn-1,Cluster 2,1,60.01
gmmmmnph-1,Cluster 2,1,44.34
gmbjhola-1,Cluster 2,0,39.60
gmmehgea-1,Cluster 2,0,38.38
gmmjebnb-1,Cluster 2,0,50.67
gmmgndlg-1,Cluster 2,1,53.37
gmmjggfc-1,Cluster 2,0,38.43
gmbjdjbk-1,Cluster 2,0,43.98
gnlcegff-1,Cluster 2,0,36.40
gnlddngg-1,Cluster 2,0,76.09
gmkoimha-1,Cluster 2,0,50.76
gnlcddbd-1,Cluster 2,0,29.35
gmlbmamg-1,Cluster 2,0,39.47
gmlbchil-1,Cluster 2,0,60.28
gmmcknfa-1,Cluster 2,3,40.91
gmmblpfp-1,Cluster 2,2,52.97
gmmfamfi-1,Cluster 2,0,74.46
glopnind-1,Cluster 2,1,81.96
gmjmllee-1,Cluster 2,0,60.10
gmjdooih-1,Cluster 2,0,44.30
gmjlgdcb-1,Cluster 2,0,53.37
gmjikifk-1,Cluster 2,0,96.45
odinamjp-1,Cluster 2,0,131.18
gmiabkak-1,Cluster 2,0,50.94
gmjjplcb-1,Cluster 2,2,82.23
gmhppibn-1,Cluster 2,0,43.08
gmipffla-1,Cluster 2,2,60.60
gmjgdlgb-1,Cluster 2,0,29.35
gmikfmdn-1,Cluster 2,0,77.89
gmpofchh-1,Cluster 2,2,32.29
gmialojg-1,Cluster 2,0,54.10
gmibgkac-1,Cluster 2,0,87.87
gmmpefnf-1,Cluster 2,0,77.04
gnmcfgcn-1,Cluster 2,0,18.33
gmhdldje-1,Cluster 2,0,36.98
gmiecifa-1,Cluster 2,1,57.85
gmheeajm-1,Cluster 2,0,54.82
gmjbchfb-1,Cluster 2,1,65.75
gmigpklh-1,Cluster 2,1,64.62
gmihnnbb-1,Cluster 2,1,77.85
gmijihph-1,Cluster 2,0,58.88
gmijobdd-1,Cluster 2,0,69.31
gmipjfee-1,Cluster 2,0,63.31
gmjfobej-1,Cluster 2,0,29.67
gnmaedgc-1,Cluster 2,1,94.74
gnkpenoa-1,Cluster 2,0,50.48
gnmdenjp-1,Cluster 2,0,87.20
gnlbhlgj-1,Cluster 2,0,37.62
gmiklcie-1,Cluster 2,1,53.10
gmmpbkjm-1,Cluster 1,2,191.19
gmmpodfl-1,Cluster 2,0,62.72
gmndfjbf-1,Cluster 2,0,40.10
gmbfhpjm-1,Cluster 2,0,80.65
gmillkpe-1,Cluster 2,0,22.98
gmimmopm-1,Cluster 2,0,36.98
gmbhabod-1,Cluster 2,0,45.16
gmbfnonl-1,Cluster 2,1,61.77
gmjaidlg-1,Cluster 2,0,22.62
gnmeapbg-1,Cluster 2,0,64.57
gmiffhhk-1,Cluster 2,1,103.18
gmjagcno-1,Cluster 2,3,90.85
gmiggdmh-1,Cluster 2,1,76.13
gmjgoeai-1,Cluster 2,0,23.39
odijnche-1,Cluster 2,2,102.46
hicliaif-1,Cluster 2,2,49.81
oedelmca-1,Cluster 2,0,58.70
hibljmpf-1,Cluster 2,1,89.77
hhmhibbb-1,Cluster 2,2,78.21
hiefbgab-1,Cluster 2,1,75.37
hieejhih-1,Cluster 2,0,61.91
hieeideh-1,Cluster 2,1,71.57
hickaebf-1,Cluster 2,0,53.10
hiblmcpm-1,Cluster 2,0,43.12
hickcljj-1,Cluster 2,2,68.77
hickjodg-1,Cluster 2,0,63.94
hicaefgl-1,Cluster 2,0,22.31
gmfkeedi-1,Cluster 2,0,55.54
gmjeghph-1,Cluster 2,0,53.51
hhmoikhl-1,Cluster 2,1,35.00
gmfilkfg-1,Cluster 2,0,58.30
hhmnbbhl-1,Cluster 2,0,71.80
gmjbhflg-1,Cluster 2,0,57.98
hhnbkalc-1,Cluster 2,0,51.30
hiapgngk-1,Cluster 2,1,95.10
hhmhichc-1,Cluster 2,0,37.12
hhmibdmd-1,Cluster 2,0,12.73
hhmkpfnm-1,Cluster 2,0,42.54
gmjbhhcg-1,Cluster 2,0,30.30
gmfhmejj-1,Cluster 2,0,40.96
hidoimkb-1,Cluster 2,0,79.84
hhmmpbbb-1,Cluster 2,1,52.70
hibimhgk-1,Cluster 2,0,88.96
gmjckihi-1,Cluster 2,1,25.38
hglcnkem-1,Cluster 2,0,57.26
hgkekjnp-1,Cluster 2,0,69.50
hhneajen-1,Cluster 2,0,55.18
hglbfhlb-1,Cluster 2,0,103.23
hhoalhkc-1,Cluster 2,0,66.70
hgkhnhmo-1,Cluster 2,0,48.77
hhmllfck-1,Cluster 2,0,27.00
hgjdmacp-1,Cluster 2,0,53.78
hhmmjpnf-1,Cluster 2,0,26.42
hglhlgak-1,Cluster 2,0,47.23
hhnkacmc-1,Cluster 2,0,48.45
hgkiednf-1,Cluster 2,0,55.54
hgjpbgjp-1,Cluster 2,0,66.11
hhniichb-1,Cluster 2,0,47.05
hhmmjnda-1,Cluster 2,1,64.57
hibmfcff-1,Cluster 2,0,46.33
gmgchnja-1,Cluster 2,2,102.46
hicgcddk-1,Cluster 2,0,56.54
hgjoccdl-1,Cluster 2,1,38.70
hglfpooi-1,Cluster 2,0,34.59
hglgmnlh-1,Cluster 2,0,91.58
hicephpd-1,Cluster 2,0,52.65
hgjepffp-1,Cluster 2,0,66.52
hhnblinf-1,Cluster 2,1,40.60
